DateID,ProductID,StoreID,CustomerID,QuantityOrdered,OrderAmount,DiscountAmount,ShippingCost,TotalAmount
20240728,407,22,995,13,141,18.15682682097417,19.3575962442737,103.48557693475213
20240728,109,22,568,15,878,37.98528152884943,61.86722113526784,778.1474973358827
20240728,927,22,90,12,622,77.42845527073443,61.86335912998821,482.7081855992774
20240728,284,22,602,4,607,90.97145790975298,68.86065317183697,447.16788891841003
20240728,366,22,370,11,721,51.8291268426571,90.28268737269676,578.8881857846461
20240728,663,22,187,3,791,63.638421077564345,109.87399610495268,617.4875828174829
20240728,858,22,276,20,943,71.35120901867373,107.82572052410538,763.8230704572209
20240728,836,22,828,2,623,67.16507959514276,84.92706690910536,470.90785349575185
20240728,579,22,910,19,801,50.0313881918486,59.12416409233995,691.8444477158114
20240728,690,22,285,4,329,26.225048827495428,32.81981923495823,269.95513193754635
20240728,439,22,958,14,455,52.95348718842595,60.16198248396394,341.8845303276101
20240728,5,22,534,15,420,21.70564961560864,49.080622569976086,349.2137278144153
20240728,369,22,932,5,748,88.18595563555895,38.233989895510284,621.5800544689307
20240728,233,22,512,11,832,71.1367220397741,78.96697647998512,681.8963014802407
20240728,823,22,430,1,321,41.67275719896061,23.498945304856072,255.82829749618332
20240728,278,22,895,13,925,34.94324026467913,134.39583930026606,755.6609204350548
20240728,943,22,489,12,534,16.539645084235403,34.68131796292465,482.77903695283993
20240728,214,22,752,3,260,38.40044512645614,27.947272690615872,193.652282182928
20240728,38,22,760,14,273,19.158364029581733,28.308252804255325,225.53338316616293
20240728,179,22,554,11,485,25.14032412382486,67.44489746686011,392.41477840931503
20240728,890,22,902,9,861,36.349273186666885,87.78801775490412,736.862709058429
20240728,700,22,897,8,416,14.743580114095497,56.891042706300865,344.3653771796036
20240728,284,22,473,1,808,45.41261905988293,63.48080905144773,699.1065718886694
20240728,30,22,769,18,429,15.984210201207821,29.376689179599857,383.63910061919233
20240728,243,22,345,8,957,133.52823065901023,81.57513614962218,741.8966331913675
20240728,511,22,717,14,949,116.30697844671812,49.77702544609783,782.915996107184
20240728,674,22,505,3,887,132.97170701937614,72.18843416193434,681.8398588186895
20240728,798,22,414,3,772,82.07084772737694,55.68744351755432,634.2417087550688
20240728,854,22,769,6,571,17.712754755690604,63.344159539064094,489.94308570524527
20240728,474,22,17,5,421,29.52511027995322,32.20182601566096,359.27306370438583
20240728,337,22,439,13,317,42.50258954450029,42.57936064597839,231.91804980952134
20240728,842,22,222,13,798,91.12034253597642,99.87453450336658,607.005122960657
20240728,950,22,554,6,869,105.17644330450246,122.89203347731765,640.9315232181799
20240728,64,22,340,15,213,19.97154093051717,20.43283855340549,172.59562051607736
20240728,222,22,922,1,198,8.233018091374872,17.68325945935342,172.0837224492717
20240728,521,22,987,14,205,19.83703938239831,19.687591328904176,165.47536928869752
20240728,650,22,789,10,385,38.6713857661709,38.863350613376376,307.46526362045273
20240728,366,22,805,15,667,14.421927649029726,56.67677141567651,595.9013009352938
20240728,539,22,287,16,745,77.48834502464656,60.28946964220307,607.2221853331504
20240728,374,22,268,10,993,147.56899330726011,129.58552061157604,715.8454860811638
20240728,453,22,281,19,509,74.90216113623543,74.04586038720333,360.0519784765612
20240728,667,22,699,8,366,37.69946098708422,54.413496303654206,273.88704270926155
20240728,217,22,582,8,363,18.266724285846465,43.84548700590058,300.88778870825297
20240728,611,22,944,13,755,60.92981877602913,105.11526275124048,588.9549184727304
20240728,13,22,506,13,454,52.267027308648075,63.739270049640204,337.9937026417117
20240728,617,22,37,12,789,116.42428656669101,105.01426046579941,567.5614529675096
20240728,492,22,540,20,731,75.54717519021612,104.81631652478862,550.6365082849952
20240728,267,22,703,20,542,38.4304298426176,70.09801776599194,433.47155239139045
20240728,260,22,858,7,660,98.025005696252,64.9874953140775,496.9874989896705
20240728,998,22,159,11,297,24.686749361961898,34.07902502685892,238.23422561117917
20240728,564,22,501,11,713,44.42452283249081,43.307054974492985,625.2684221930162
20240728,983,22,306,3,312,8.135701142574787,16.593239624904655,287.27105923252054
20240728,130,22,203,13,250,12.262810223112783,14.50742561718039,223.22976415970683
20240728,551,22,174,6,905,101.70995741174677,120.26205938350894,683.0279832047443
20240728,457,22,931,19,103,11.065398598835804,9.926252831741992,82.0083485694222
20240728,936,22,838,3,440,58.35720543342404,55.9484463594508,325.69434820712513
20240728,738,22,449,15,217,19.86124580074247,23.578902528796696,173.55985167046083
20240728,575,22,88,15,545,74.27849063860974,63.5687106252452,407.1527987361451
20240728,288,22,194,4,895,115.91673770240772,54.440277808000296,724.642984489592
20240728,582,22,174,11,464,24.218631581743242,68.15024134986169,371.6311270683951
20240728,54,22,745,4,230,6.495969648090412,20.50662312050166,202.99740723140792
20240728,332,22,229,18,462,19.43883983137997,39.145774647285634,403.41538552133443
20240728,573,22,872,12,542,39.661370905898366,67.00012326787362,435.338505826228
20240728,948,22,386,3,400,9.350102834040086,53.05664593913928,337.59325122682066
20240728,56,22,321,15,637,27.61664971953068,42.86187048113889,566.5214797993305
20240728,763,22,105,7,526,69.8058833746922,64.46982764252218,391.72428898278565
